,review_id,text,labels
10,11,"Один из лучших в пригороде Санкт-Петербурга.1. Расположение - отличное. от города недалеко, залив рядом, крытый паркинг, своя территория, все супер.2. Номера - номеров множество, но не создается впечатление переполненности отеля, сами номера - уютные, просторные, все на высоте.3. Спа - выше всяких похвал, бассейн - однозначно лучший среди всех загородных клубов СПб, Спа процедуру - тоже на высоте.4. Питание, брали только завтраки - просто супер. Все свежее, выбор огромный, все очень вкусно. Вывод - отличный отель для релакса в выходные.","[{'aspect': 'общее впечатление', 'sentiment': 'positive'}, {'aspect': 'расположение', 'sentiment': 'positive'}, {'aspect': 'парковка', 'sentiment': 'positive'}, {'aspect': 'территория отеля', 'sentiment': 'positive'}, {'aspect': 'номера', 'sentiment': 'positive'}, {'aspect': 'спа', 'sentiment': 'positive'}, {'aspect': 'бассейн', 'sentiment': 'positive'}, {'aspect': 'спа процедуры', 'sentiment': 'positive'}, {'aspect': 'питание', 'sentiment': 'positive'}]"
11,12,"Хочу поблагодарить за оказанное гостеприимство. Всё было просто великолепно. Были тронуты до глубины души оказанным вниманием со стороны владельцев отеля. Особенно запомнился свадебный подарок (игра на пианино - просто великолепно!) Спасибо за шампанское и клубнику в номер! Нам очень всё понравилось, спасибо огромное!!! Желаем вам процветания в бизнесе, множество клиентов. Мы к вам ещё вернёмся!","[{'aspect': 'гостеприимство', 'sentiment': 'positive'}, {'aspect': 'внимание со стороны владельцев', 'sentiment': 'positive'}, {'aspect': 'подарок', 'sentiment': 'positive'}, {'aspect': 'услуги в номере', 'sentiment': 'positive'}, {'aspect': 'общее впечатление', 'sentiment': 'positive'}]"
12,13,"До пляжа 7 минут, полотенца на пляж дают. Завтраки нормальные, вода в номере бесплатная.По сравнению с другим отелями в этом месте, этот достаточно скромный, но в целом к нему замечаний нет.Важно: при букировании онлайн в цену не входит налог за проживание, который составляет 15 AED за день.Сам район крайне приятный, поэтому в целом все понравилось.","[{'aspect': 'расстояние до пляжа', 'sentiment': 'positive'}, {'aspect': 'предоставление полотенец', 'sentiment': 'positive'}, {'aspect': 'завтрак', 'sentiment': 'positive'}, {'aspect': 'предоставление воды', 'sentiment': 'positive'}, {'aspect': 'сравнение с другими отелями', 'sentiment': 'mixed'}, {'aspect': 'букирование онлайн', 'sentiment': 'negative'}, {'aspect': 'налог за проживание', 'sentiment': 'negative'}, {'aspect': 'район', 'sentiment': 'positive'}, {'aspect': 'общее впечатление', 'sentiment': 'positive'}]"
13,14,"Мы с моим молодым человеком любим выбираться за город на уик-энд . Много где были, много чего видели! Гранд Петергоф - нас поразил своим уютом ,гостеприимством и комфортом! Великолепная зона спа .хорошие номера, вкусная еда и очень приветливый персонал!Отлично провели время , поедем еще!!!!!!","[{'aspect': 'уют', 'sentiment': 'positive'}, {'aspect': 'гостеприимство', 'sentiment': 'positive'}, {'aspect': 'комфорт', 'sentiment': 'positive'}, {'aspect': 'зона спа', 'sentiment': 'positive'}, {'aspect': 'номера', 'sentiment': 'positive'}, {'aspect': 'еда', 'sentiment': 'positive'}, {'aspect': 'персонал', 'sentiment': 'positive'}]"
14,15,"Отель расположен среди азиатских ресторанов на шумном перекрестке. До метро вроде недалеко но не то чтобы совсем рядом. Помещение тесное, уборка в номерах поверхностная, никто не заморачивается. Я бы второй раз сюда не поехал. Телевизор в номере не работал, интернета не было обещанного. В общем, разочарование","[{'aspect': 'расположение', 'sentiment': 'mixed'}, {'aspect': 'размер помещения', 'sentiment': 'negative'}, {'aspect': 'чистота', 'sentiment': 'negative'}, {'aspect': 'телевизор', 'sentiment': 'negative'}, {'aspect': 'интернет', 'sentiment': 'negative'}, {'aspect': 'общее впечатление', 'sentiment': 'negative'}]"
15,16,"Прежде, чем выбрать этот отель было изучено много информации. В принципе, неплохой отель, переночевать можно. Очень мало места в номере. Выход из лифта был практически на лестницу и мы всегда боялись упасть. Так что будьте внимательней)) Персонал хороший. Отель расположен в латинском квартале, место очень тихое и спокойное. Беспокойство нам причиняло лишь то, что отель находится рядом с какой-то огромной клиникой, и постоянно мешал вой сирен. А так - неплохой отель.","[{'aspect': 'общее впечатление', 'sentiment': 'positive'}, {'aspect': 'номер', 'sentiment': 'negative'}, {'aspect': 'безопасность', 'sentiment': 'negative'}, {'aspect': 'персонал', 'sentiment': 'positive'}, {'aspect': 'расположение', 'sentiment': 'mixed'}, {'aspect': 'шум', 'sentiment': 'negative'}]"
16,17,"Чистый, небольшой отель, внутренне в прекрасном исполнении, действительно ощущаешь мебя частью мира творческих и одаренных людей, хочется внимательно осмотреть все работы, поэтому название Art - отель себя вполне оправдывает. Завтраки вполне пришлись по вкусу. Тихо, расположен в центре, правда найти его сразу, если не звонить на ресепшн - довольно сложно, вход в отель как будто ""спрятан"", что оставляет ощущение не-публичности, конфиденциальности, а также полной безопасности его постояльцев. Согласна с одним из отзывов- персонал не фанатичен, впрочем это может быть спецификой Питера, в Москве все требуют от людей американского стиля работы, превращая всех вокруг в роботов. Здесь же нет издёрганности по поводу того, что ""вдруг что-то не так"", хотя для довольно высокого уровня цен в отеле - можно быть и повнимательнее к тому, чтобы шампунь и мыло добавлялись в номер ежедневно.","[{'aspect': 'чистота', 'sentiment': 'positive'}, {'aspect': 'размер отеля', 'sentiment': 'negative'}, {'aspect': 'дизайн', 'sentiment': 'positive'}, {'aspect': 'атмосфера', 'sentiment': 'positive'}, {'aspect': 'завтрак', 'sentiment': 'positive'}, {'aspect': 'расположение', 'sentiment': 'mixed'}, {'aspect': 'приватность', 'sentiment': 'positive'}, {'aspect': 'безопасность', 'sentiment': 'positive'}, {'aspect': 'персонал', 'sentiment': 'neutral'}, {'aspect': 'уровень цен', 'sentiment': 'negative'}, {'aspect': 'услуги', 'sentiment': 'negative'}]"
17,18,"Приехав с экскурсии СПб-Хельсинки-Стокгольм, нас выгрузили ночью на Московском вокзале. Вариант ночлега провалился и мы не знали куда идти. Посоветовали гостиницу Октябрьскую, но не центральную, а эту, цены ниже и места должны быть. И действительно двухместный номер оказался недорогим и были места. Нормальная гостиница, отличный завтрак, все остальное нам было не важно. Спасибо, что приютили :)","[{'aspect': 'цена', 'sentiment': 'positive'}, {'aspect': 'наличие мест', 'sentiment': 'positive'}, {'aspect': 'завтрак', 'sentiment': 'positive'}, {'aspect': 'общее впечатление', 'sentiment': 'positive'}]"
18,19,"Очень удобное расположение: до Исаакиевского собора и Дворцовой площади 10-15 минут по красивым улочкам! И до метро 5 минут! Номера уютные, персонал приветливый. Невероятно удобные кровати! Завтрак и соотношение цены и качества. Приехал рано утром, заселили раньше положенного!!!","[{'aspect': 'расположение', 'sentiment': 'positive'}, {'aspect': 'номер', 'sentiment': 'positive'}, {'aspect': 'персонал', 'sentiment': 'positive'}, {'aspect': 'кровати', 'sentiment': 'positive'}, {'aspect': 'завтрак', 'sentiment': 'neutral'}, {'aspect': 'соотношение цены и качества', 'sentiment': 'neutral'}, {'aspect': 'время заселения', 'sentiment': 'positive'}]"
19,20,"Отличный отель - местоположение, оснащение, ремонт....все кроме одного - три кражи за семь дней. Мы были группой. Одна в фойе (украли сумку), одна в ресторане на завтраке (тоже сумку унесли) -причем на завтрак пускают только постояльцев отеля, и одна - прямо из номера, за день до отъезда вытащили покупки из чемодана..... Пришлось разбираться с полицией, с менеджерами отеля .... Все в группе были очень огорчены, все же - известный отель, центр Парижа, Франция.....и такой произвол. Такого не встречали нигде - ни в Турции, ни в Египте.... Очень НЕ рекомендую.","[{'aspect': 'местоположение', 'sentiment': 'positive'}, {'aspect': 'оснащение', 'sentiment': 'positive'}, {'aspect': 'ремонт', 'sentiment': 'positive'}, {'aspect': 'безопасность', 'sentiment': 'negative'}, {'aspect': 'персонал', 'sentiment': 'negative'}, {'aspect': 'общее впечатление', 'sentiment': 'negative'}]"
20,21,"Отель рядом с Молл оф Эмирейтс (10 минут пешком). Бесплатный вай фай только в лобби. Есть ресторан, где можно купить спиртное, но дорого (бутылка 0,33 Будвайзер около 300 рублей), водку наливают разбавленной. Бассейн есть только в соседнем отеле ""Новотель"".","[{'aspect': 'расположение', 'sentiment': 'positive'}, {'aspect': 'wi-fi', 'sentiment': 'negative'}, {'aspect': 'ресторан', 'sentiment': 'mixed'}, {'aspect': 'бассейн', 'sentiment': 'negative'}]"
21,22,"отель расположен в прекрасном районе парижа, откуда пешком мы могли гулять до основных достопримечательностей города: эйфелева башня, нотр дамм, лувр. когда было лениво, садились в метро и через пару станций уже на елисейских полях, в маре, на монмартре или гуляем по садам люксембурга.для того, кто впервые в париже, месторасположение отеля - это очень важный критерий выбора. в самом районе очень прилично, он не бедный, не самый шумный, вокруг масса прекрасных кафе. в одном из них даже встретили звезду отечественного тв, к слову)уборка ежедневная, в номере есть балкончик. вид, конечно, не на эйфелеву башню, но тоже прекрасный) по утрам бывало немного шумно от машин, но не назойливо и поэтому просыпаться можно вполне себе без стрессов.обслуживание хорошее и ненавязчивое - это очень радостный момент.завтракать в отеле не стали, так как расположение столиков непосредственно рядом с ресепшн не располагало к трапезе, но рядом есть много мест для завтраков и это не считаю недостатком.не порадовала разве что отсутствие доставки пассажиров на лифте выше 4 этажа. если физическая форма не очень, а чемодан тяжелый, то можно и не справиться с этим обстоятельством. но это характерно для многих европейских отелей, так что тоже не стало критичным недостатком.совершенно точно вернусь, еще и потому, что цены очень приятные для отеля с таким месторасположением. возможно, были какие-то недостатки, но я их не заметила, если честно, потому что и не хотела отвлекаться от главного /тут что такое главное каждый может выбрать себе сам/","[{'aspect': 'расположение', 'sentiment': 'positive'}, {'aspect': 'уборка', 'sentiment': 'positive'}, {'aspect': 'вид из номера', 'sentiment': 'positive'}, {'aspect': 'шум', 'sentiment': 'negative'}, {'aspect': 'обслуживание', 'sentiment': 'positive'}, {'aspect': 'завтрак', 'sentiment': 'negative'}, {'aspect': 'лифт', 'sentiment': 'negative'}, {'aspect': 'цена', 'sentiment': 'positive'}]"
22,23,"Отличный дизайн, вежливые сотрудники и очень вкусные завтраки.Отдельно хочу поблагодарить Анастасию Сыссоеву за всю помощь, которую она нам оказывала во время нашего пребывания в отеле. До скорых встреч! Карина Чистякова","[{'aspect': 'дизайн', 'sentiment': 'positive'}, {'aspect': 'персонал', 'sentiment': 'positive'}, {'aspect': 'завтрак', 'sentiment': 'positive'}, {'aspect': 'сотрудник анастасия сыссоева', 'sentiment': 'positive'}]"
23,24,"Уважаемые читатели! Если Вы не любите комфорт и не боитесь трудностей, то приезжайте во второй корпус Буревестника! Для колясок нет въезда в корпус, дорожки все разбиты, все очень бедно. Красная цена в этом корпусе - 150 руб за койку! Стены и рамы обшарпаны,потолки с протечками, с окон дует. Когда мы приехали, мне пришлось намывать срочно номер, так как на полу были везде черные волосы, Кто додумался приделать розетки, которые вываливаются из гнезда, прямо над кроватью? В этом корпусе вообще нельзя жить с маленькими детками! Питание было организовано нормально, но в столовой постоянно пахло неаппетитно! Так же нет при столовой гардероба, куда можно было сдать верхнюю одежду!","[{'aspect': 'комфорт', 'sentiment': 'negative'}, {'aspect': 'доступность для колясок', 'sentiment': 'negative'}, {'aspect': 'состояние дорожек', 'sentiment': 'negative'}, {'aspect': 'состояние корпуса', 'sentiment': 'negative'}, {'aspect': 'цена', 'sentiment': 'negative'}, {'aspect': 'состояние стен и рам', 'sentiment': 'negative'}, {'aspect': 'состояние потолков', 'sentiment': 'negative'}, {'aspect': 'теплоизоляция окон', 'sentiment': 'negative'}, {'aspect': 'чистота номера', 'sentiment': 'negative'}, {'aspect': 'безопасность розеток', 'sentiment': 'negative'}, {'aspect': 'условия для маленьких детей', 'sentiment': 'negative'}, {'aspect': 'питание', 'sentiment': 'mixed'}, {'aspect': 'запах в столовой', 'sentiment': 'negative'}, {'aspect': 'наличие гардероба', 'sentiment': 'negative'}]"
24,25,"долго планировали поездку в Париж. долго выбирали отель. выбор пал на Mercure Paris Montmartre Sacre Coeur. не прогадали!покупали номер за две недели до предполагаемой поездки по самому низкому тарифу, оплатили сразу. не стали брать привилегированный номер и доплачивать еще половину стоимости, так как планировали основное время проводить в городе. в итоге, мы получили большой уютный номер на 7 этаже с прекрасным видом на Эйфелеву башню!отель находится на Монмартре, в минуте от станции метро Place de Clichy, откуда можно за 10 минут доехать до Лувра или Эйфелевой башни. регистрация заняла минуту, как и выезд. убирались каждый день. в стандартном номере есть все необходимое: фен, набор косметики, чайник, пара чашек, телевизор, сейф, холодильник. очень хорошая звукоизоляция. большая удобная кровать, туалет и ванная раздельные, что также очень удобно. завтраки не брали, вокруг много кафе. wi-fi и кондиционер работали исправно.первое впечатление о Париже осталось очень приятным, в том числе и благодаря времени, проведенному в отеле. настоятельно рекомендую!","[{'aspect': 'выбор отеля', 'sentiment': 'positive'}, {'aspect': 'цена', 'sentiment': 'positive'}, {'aspect': 'номер', 'sentiment': 'positive'}, {'aspect': 'вид из окна', 'sentiment': 'positive'}, {'aspect': 'расположение', 'sentiment': 'positive'}, {'aspect': 'регистрация и выезд', 'sentiment': 'positive'}, {'aspect': 'уборка', 'sentiment': 'positive'}, {'aspect': 'удобства в номере', 'sentiment': 'positive'}, {'aspect': 'звукоизоляция', 'sentiment': 'positive'}, {'aspect': 'кровать', 'sentiment': 'positive'}, {'aspect': 'ванная и туалет', 'sentiment': 'positive'}, {'aspect': 'завтрак', 'sentiment': 'neutral'}, {'aspect': 'wi-fi', 'sentiment': 'positive'}, {'aspect': 'кондиционер', 'sentiment': 'positive'}, {'aspect': 'общее впечатление', 'sentiment': 'positive'}]"
25,26,"Я останавливалась в этом хостеле в январе 2014. Время было не самое холодное (+7 где-то), но, тем не менее, в номерах было довольно-таки холодно. Администрация, однако, не озаботилась предоставлением постояльцам одеял, в номерах были только пледы. Вентиляция душевой через комнату, отсюда высокий уровень влажности в помещении и жуткая плесень прямо над душем. Возвращаться в такой хостел не хочется совсем.Работа администрации, тем не менее, порадовала. Со мной в одной комнате была больная туристка, кашляла всю ночь и явно распространяла заразу. Я попросила предоставить мне другой номер, и администрация незамедлительно пошла навстречу. Номер дали свободный, никаких соседей, однако все так же холодно и сыро.","[{'aspect': 'температура в номере', 'sentiment': 'negative'}, {'aspect': 'услуги', 'sentiment': 'negative'}, {'aspect': 'вентиляция и влажность', 'sentiment': 'negative'}, {'aspect': 'чистота', 'sentiment': 'negative'}, {'aspect': 'работа администрации', 'sentiment': 'positive'}, {'aspect': 'условия проживания', 'sentiment': 'negative'}]"
26,27,"Отель - эконом-класса, но уровень обслуживания и гостеприимство - на высоте. Номера очень небольшие, но чистые и уютные. В ванной всё исправно работает. Вежливый персонал. У отеля есть внутренний дворик с зелёной травой и расставленными столами и креслами. Можно на открытом воздухе посидеть небольшой компанией, пробуя купленные вами французские сыры, выпечку и напитки. Кстати, совсем рядом с отелем имеется большой продуктовый супермаркет, несколько кафе и кондитерская. Это очень удобно! Из отеля можно пешком прогуляться на площадь Бастилии или к берегам канала Сен-Мартен или Сены. Мы за полчаса доходили до Нотр-Дам де Пари. В пяти минутах ходьбы - Лионский вокзал и метро.","[{'aspect': 'класс отеля', 'sentiment': 'negative'}, {'aspect': 'обслуживание', 'sentiment': 'positive'}, {'aspect': 'гостеприимство', 'sentiment': 'positive'}, {'aspect': 'номер', 'sentiment': 'mixed'}, {'aspect': 'чистота', 'sentiment': 'positive'}, {'aspect': 'ванная комната', 'sentiment': 'positive'}, {'aspect': 'персонал', 'sentiment': 'positive'}, {'aspect': 'внутренний дворик', 'sentiment': 'positive'}, {'aspect': 'расположение', 'sentiment': 'positive'}, {'aspect': 'продуктовый супермаркет', 'sentiment': 'positive'}, {'aspect': 'кафе и кондитерская', 'sentiment': 'positive'}, {'aspect': 'достопримечательности', 'sentiment': 'positive'}, {'aspect': 'транспортная доступность', 'sentiment': 'positive'}]"
27,28,"Гостиница расположена в отличном месте. Близко от метро, ж.д. вокзала. Недалеко есть продовольственный магазин и много недорогих кафе и ресторанов. Расположена гостиница в 15 минутах ходьбы от Гранд Опера - одного из красивейших и лучших театров в мире. От него берут начало все экскурсионные автобусы.Чисто. Персонал приветливый. Номера небольшие, но уютные. Завтраки дорогие. Имеет смысл завтракать в кафе, которых очень много.","[{'aspect': 'расположение', 'sentiment': 'positive'}, {'aspect': 'доступность общественного транспорта', 'sentiment': 'positive'}, {'aspect': 'доступность магазинов и ресторанов', 'sentiment': 'positive'}, {'aspect': 'близость к достопримечательностям', 'sentiment': 'positive'}, {'aspect': 'чистота', 'sentiment': 'positive'}, {'aspect': 'персонал', 'sentiment': 'positive'}, {'aspect': 'номер', 'sentiment': 'positive'}, {'aspect': 'завтрак', 'sentiment': 'negative'}]"
28,29,"Останавливались на новогодние праздники. Отель очень уютный, чистый. Вежливый и отзывчивый персонал. Номер немаленький, ванная и туалет раздельно (что большая редкость для отелей). В номере есть все принадлежности для кофе/чаепития, тапочки.Расположен отель очень удобно, буквально 2 шага от Невского, под рукой куча кафе, недалеко основные достопримечательности. Рекомендую:)","[{'aspect': 'общая атмосфера', 'sentiment': 'positive'}, {'aspect': 'чистота', 'sentiment': 'positive'}, {'aspect': 'персонал', 'sentiment': 'positive'}, {'aspect': 'номер', 'sentiment': 'positive'}, {'aspect': 'удобства в номере', 'sentiment': 'positive'}, {'aspect': 'расположение', 'sentiment': 'positive'}, {'aspect': 'близость кафе и достопримечательностей', 'sentiment': 'positive'}]"
29,30,"Довольно удобное расположение рядом с Оперой. Недалеко до Лувра, до ст. м. ""Опера"" вообще метров 150. Вообще отель брали только с целью в нём ночевать, поэтому выбирали по цене и раположению. Остались довольны. Бесплатный вай фай.Вкусные завтраки, хотя в последние деньки уже на них не ходили, потому что однообразные.","[{'aspect': 'расположение', 'sentiment': 'positive'}, {'aspect': 'цена', 'sentiment': 'positive'}, {'aspect': 'вай-фай', 'sentiment': 'positive'}, {'aspect': 'завтрак', 'sentiment': 'mixed'}]"
30,31,"Останавливались в отеле на своей машине в декабре 2013 г. В центре города была слякоть и пробки, в районе отеля же тишина и чистота. Район очень спокойный, вокруг парки и деревья. Отель большой и красивый, со сказочной подсветкой. У отеля своя огромная стоянка для авто, к тому же бесплатная. Обслуживание хорошее, приветливый персонал, быстрая регистрация. В номере все необходимое, бесплатный Wi-Fi, есть обслуживание ""в номер"". Очень хотим побывать тут летом, когда будет работать парк аттракционов, который находится рядом с отелем!","[{'aspect': 'расположение', 'sentiment': 'positive'}, {'aspect': 'чистота', 'sentiment': 'positive'}, {'aspect': 'парковка', 'sentiment': 'positive'}, {'aspect': 'обслуживание', 'sentiment': 'positive'}, {'aspect': 'персонал', 'sentiment': 'positive'}, {'aspect': 'регистрация', 'sentiment': 'positive'}, {'aspect': 'номер', 'sentiment': 'positive'}, {'aspect': 'wi-fi', 'sentiment': 'positive'}, {'aspect': 'обслуживание в номере', 'sentiment': 'positive'}, {'aspect': 'достопримечательности', 'sentiment': 'positive'}]"
31,32,"Найти недорогой отель на праздники в Питере это сложная задача.Отель Камея стоит отдельным зданием во внутреннем дворике. Номера - просто, скромно, дешево: кровать, тумбочки, шкаф, телевизор и неплохая уборная.В ту пору когда строили отель наверное не знали еще о звукоизоляции, поэтому после ночи вы будете знать обо всех интересах и предпочтениях ваших соседей :)Понравился завтрак по типу шведский стол с хорошим и вкусным выбором блюд.Отель расположен в шаговой доступности от самых известных достопримечательностей.","[{'aspect': 'цена', 'sentiment': 'positive'}, {'aspect': 'расположение', 'sentiment': 'positive'}, {'aspect': 'номер', 'sentiment': 'positive'}, {'aspect': 'звукоизоляция', 'sentiment': 'negative'}, {'aspect': 'завтрак', 'sentiment': 'positive'}, {'aspect': 'достопримечательности', 'sentiment': 'positive'}]"
32,33,"Удобное расположение (особенно для тех, кто прибывает поездом на Московский вокзал). Транспортная доступность отличная (хотя по Питеру нужно гулять пешком :))) идеально подойдет для тех, кто приезжает в Питер погулять и отдохнуть (в пешей доступности различные клубы, кафе, рестораны, торговые центры).","[{'aspect': 'расположение', 'sentiment': 'positive'}, {'aspect': 'транспортная доступность', 'sentiment': 'positive'}, {'aspect': 'доступность развлечений', 'sentiment': 'positive'}]"
